,Unnamed: 0,company,title,description,salary,tags,location,labels,link,index
70,31,Magic Data,ASR项目实习生,"工作内容：
1、辅助语音TTS标注项目的各方面组织协调。
2、辅助和客户对接项目，理解项目需求，梳理规范，培训管理。
3、跟进项目进度，解答标注员疑问。
4、质检验收标注员的产出数据，达到项目要求的质量及工期
5、月度统计工作量，完成项目结算。

任职要求：
1、本科及以上学历，英语优秀，能英语沟通优先。
2、文字阅读理解能力优，思维敏感。
3、良好的抗压能力，乐观、积极、有较强的自我驱动力和职业发展计划，擅长与人沟通。
4、熟练使用excel,word等办公软件，对于新的工具有较快的学习能力。
5、良好的职业道德和职业操守，善于沟通与协调，良好的团队合作意识。",190-200元/天,"['北京', '4天/周 2个月', '学历不限']",北京海淀区海淀文教产业园G座5层501,"['兼职', '坐班']",https://www.zhipin.com/job_detail/e3994119f412c77b1X1_29i-EVBY.html,11.0
71,33,Magic Data,项目经理/项目主管,"工作内容
1.管理项目团队,保证团队的正常运营，协调解决项目和项目经理、组长工作上的问题。
2. 保障所有任务类型交付。
3. 保障所有任务标注数据交付（组内交付标效和质量合格率）达到项目要求。
4. 提升管辖团队凝聚力。

任职要求：
1）本科及以上学历，有团队管理经验。
2）有良好的职业道德和职业操守，擅于沟通与协调，良好的团队合作意识，较高的敏感度及一定的判断能力。
3）责任心强，工作细致认真，办事有条理，细心周到，能够从容应对突发事件并妥善上报与协调。

说明：本岗位偏管理类、工作地点是洛阳。

加分项
有以下行业经验：大数据·互联网·通信/网络设备",4-6K,"['洛阳', '1-3年', '本科']",洛阳洛龙区洛阳恒生科技园A区6栋905室,"['责任心', '中大型软件项目管理经验', '团队管理', '非技术项目管理', '大数据项目管理经验']",https://www.zhipin.com/job_detail/35bffd88b359b2551XB839W6ElRT.html,13.0
72,36,Magic Data,项目实习生（方言验收）,"工作内容：
1、闽南语和客家话方言的检查，验收，
2、工作时间：至少2个月。
项目要求：
1、能听懂闽南语和客家话，；
2.线上或者线下工作均可；
3、薪资200元/天，如果是线上工作的话，只要能完成当天的定量任务即可。",190-200元/天,"['北京', '3天/周 2个月', '学历不限']",北京海淀区北三环中路44号院文教产业园G座5层,"['台湾方言', '闽南语', '客家话']",https://www.zhipin.com/job_detail/6ba2f59457d15bf61HB43t69F1RY.html,16.0
73,38,Magic Data,方言验收实习生,"1.验收闽南语、陕西西安方言
2.需要至少2人
3.主要是检查文本和音频是否一致
4.细心、负责优先
5.上岗时间：本周到岗，每周至少来3-4天",170-180元/天,"['北京', '3天/周 2个月', '学历不限']",北京海淀区海淀文教产业园G座5层501,['兼职'],https://www.zhipin.com/job_detail/096fcc83839fe3d21XJ52d24ElFT.html,18.0
74,40,数据堂,标注质检员,"1.熟练掌握各类数据标注项目的规则及标注工具使用技巧，能够根据项目具体要求高质量地完成各类项目的标注工作;
2.对标注过程中的问题进行记录和反馈，根据需求方的意见和验收结果调整标注方法、完善标注规则;
3.负责数据标注任务的拆分与发布，监控项目进度和生产效率，及时通报进展并维护相关数据报表;
4.按照要求合并或整理标注结果，并对标注结果及验收意见进行分析;
5.定期总结，基于自身使用体验及用户反馈等信息提出对标注平台优化建议或项目效率改进方案;
6.在要求的期限内完成合格数据交付，对结果负责
任职要求:
1、有3d点云标注经验，对特定内容、图像等数据敏感，可判别数据内容的分类特征；
2、能依据具体的标准，完成各模型的效果评定；
3、有数据标注经验者、对机器学习的相关基本原理有了解者优先，接触学习过Linux系统相关命令者优先；
4、主动学习，沟通顺畅，能快速熟练掌握各类判别标准；
5、全日制专科及以上学历。",3-4K,"['保定', '经验不限', '大专']",保定莲池区保定莲池区双创基地无,"['全职工作', '标注方法优化', '标注结果抽查', '标注结果整理', '图片标注', '文本标注', '区域标注', '描点标注', '分类标注', '数据分析能力强']",https://www.zhipin.com/job_detail/5c09df711f4adb491XJz3dm1FVFY.html,0.0
75,43,数据堂,运维工程师,"工作内容：

负责和参与公司平台、数据库及各类中间件的部署、运维，涉及多台规模服务器，保障服务器稳定性和可用性。

任职要求：
1. 精通Linux操作系统的配置，管理及优化，能够独立排查及解决操作系统层的各类问题；
2. 掌握nginx，kafka，zabbix，docker，MongoDB，zookeeper，Samba等部署，有实际部署经验；
3. 熟悉 MySQL 数据库维护；
4. 可以编写简单的Python脚本，了解Java，有良好的系统性能优化及故障排除能力；
5. 协助编写项目相关文档；
6. 协助项目经理完成项目管理工作，推动项目验收；
7.该岗位需要出差；",7-10K,"['合肥', '1-3年', '大专']",合肥蜀山区蜀山区国际电子商务产业园四期D栋人工智能大厦12层,"['Linux', 'Python', 'Java', '服务器配置', '容器技术', '分布式技术', 'Nginx', 'Docker']",https://www.zhipin.com/job_detail/dd888fa0f8d483df1nZ83N21GFVQ.html,3.0
76,46,数据堂,市场运营实习生,"工作职责:
1.协助负责数据堂在海外合作平台的日常运营工作。
2.协助负责海外客户的开发信撰写与发送，包括数据监测和分析。
3.负责部分广告素材图的设计与制作。
4.领导交办的其他工作。

任职资格:
1.本科/研究生在读，有留学背景优先考虑，新闻／市场类专业优先。
2.英文听说读写能力优秀， 扎实的文字功底。
3.做事认真主动，逻辑性、结构化思维强，有数字思维，良好的沟通能力、团队协作能力、适应能力。
4.实习表现优异可以转正。",200-250元/天,"['北京', '4天/周 3个月', '本科']",北京海淀区数据堂(北京)科技股份有限公司1-4层,"['内容生产运营', '图文', '不接受居家办公', '公司宣传类']",https://www.zhipin.com/job_detail/735ae78d7dd1a91b1HB42Nm_GVNW.html,6.0
77,48,数据堂,加拿大魁北克法语兼职,"工作周期：长期兼职
每周工期：2-3天
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-07-12
兼职：魁北克法语的线上质检。

工作内容：
1.根据规范，将语音内容转写为语言文本
2.按照规范将语音截取成句判断噪音，有效性等属性，具体按规范操作。

 工作要求：
1.转写的词准确率要能打到98%及以上
2.标签属性正确率达到85%及以上

工作时间：
灵活每日可根据自己时间工作。可在家线上兼职，使用公司平台可进行培训

费用薪资：
120元/有效小时

结算方式：
  按月根据客户验收合格的数据进行结算",120-150元/时,"['深圳', '经验不限', '大专']",深圳南山区阳光粤海广东省深圳市南山区粤海街道粤桂社区白石路3818号阳光粤海花园二期3栋803,['兼职'],https://www.zhipin.com/job_detail/9d47c1baf2efd3051HF83tu9EVdV.html,8.0
78,51,数据堂,挪威语翻译,"兼职：挪威语、的线上质检。

工作内容：
1.根据规范，将语音内容转写为语言文本
2.按照规范将语音截取成句判断噪音，有效性等属性，具体按规范操作。

 工作要求：
1.转写的词准确率要能打到98%及以上
2.标签属性正确率达到85%及以上

工作时间：
灵活每日可根据自己时间工作。可在家线上兼职，使用公司平台可进行培训

费用薪资：
120元/有效小时

结算方式：
  按月根据客户验收合格的数据进行结算",4-8K,"['深圳', '经验不限', '学历不限']",深圳南山区阳光粤海广东省深圳市南山区粤海街道粤桂社区白石路3818号阳光粤海花园二期3栋803,"['兼职', '无需坐班']",https://www.zhipin.com/job_detail/74a330a48028f1b21HJ-39i6FVVX.html,11.0
79,54,数据堂,运维工程师,"工作内容：

负责和参与公司平台、数据库及各类中间件的部署、运维，涉及多台规模服务器，保障服务器稳定性和可用性。

任职要求：
1. 精通Linux操作系统的配置，管理及优化，能够独立排查及解决操作系统层的各类问题；
2. 掌握nginx，kafka，zabbix，docker，MongoDB，zookeeper，Samba等部署，有实际部署经验；
3. 熟悉 MySQL 数据库维护；
4. 可以编写简单的Python脚本，了解Java，有良好的系统性能优化及故障排除能力；
5. 协助编写项目相关文档；
6. 协助项目经理完成项目管理工作，推动项目验收；",7-10K,"['南昌', '1-3年', '大专']",南昌青云谱区国家电网迎宾北大道1588号国家电网江西省电力公司电力经济技术研究院,"['Linux', 'Python', 'Java', '服务器配置', '容器技术', '分布式技术', 'Nginx', 'Docker']",https://www.zhipin.com/job_detail/3602243ad3fb9dc61nZy3t64EVZU.html,14.0
